PartNo,PartRev,PartStatus,PartDescription,PartGroupCode,PartNominal,PartGroupSubCode,PartAdditionalRef,PartDrawingNo,PartDrawingPath,PartMainlyPurchased,PartMaterialSpec,PartMaterialCost,PartMaterialCostStd,PartLabourSetUpCost,PartLabourRunCost,PartLabourCostStd,PartSubconCostStd,PartLabourSetUpTime,PartLabourRunTime,PartPurchasingCost,PartSubContractCost,PartSundryCost,PartSellingPrice,PartStandardCost,PartUOM,PartUOP,PartUOMUOPConv,PartDefLocation,PartStockActive,PartStockQuarantine,PartStockSORequirement,PartStockWORequirement,PartStockSOAllocated,PartStockOnOrderSO,PartStockOnOrderPO,PartStockOnOrderWO,PartLeadTime,PartLeadTimeSales,PartLeadTimeMan,PartMOQWO,PartMOQSO,PartMOQPO,PartMinStockLev,PartSafetyStockLev,PartROL,PartROLUOM,PartROQ,PartROQUOM,PartWidth,PartReviewed,PartPrefSupplier,PartDefCust,PartCommodityCode,PartWeight,PartNominal_PO,PartStockableItem,PartLifedItem,PartSaleableItem,PartCreated,PartBOMName,PartBOMRev,PartRoutName,PartRoutRev,PartGenTypeName,PartCalibToolRef,PartDefaultAltCust,PartDefaultAltSupp,PartPhantom,PartStandardCostAutoUpdate,PartCofCRequired,PartRequiresRelease,PartDefaultJobType,PartIsForecastItem,PartStockWORequirement_Forecast,PartStockOnOrderWO_Forecast,PartLabourSetUpCost_SalesRate,PartLabourRunCost_SalesRate,PartMachiningPercentage,PartMaxStockLev,PartSheetX,PartSheetY,PartStockCategory,PartRoundUpBatchQty,PartBatchQtyWO,PartBatchQtyPO,PartPurchasingCostLastUpdated,PartSellingPriceLastUpdated,PartStandardCostLastUpdated,PartFinishType,PartPricePerKG,PartLinkedPN,PartLastStockCheck,PartSheetThickness,PartSheetGrade,PartStockedIn,PartPurchasingCostPerTonne,PartReclaim,PartSectionalArea,PartStandardLength,PartStandardBreadth,PartBOMPath,PartIsFreeIssueItem,PartVATIDOverwrite_Sales,PartVATID_Sales,PartVATIDOverwrite_Purchase,PartVATID_Purchase,PartStockRequiresRelease,PartBOMLocked,PartRoutingLocked,PartBOMWeight,PartUsedInUnit,PartMSLOfStdSizeUnits,InventoryAssociatedDocuments,InventoryLaserParameters(PartNo),InventoryLaserParameters(PartNo) 2,InventoryPartBOM(PartNo),InventoryPartBOM(PartNo) 2,InventoryPartRouting,InventoryPriceMatrix,InventorySubContractPriceMatrix_NEW,SalesOrderDetails,StockAllocationWO,WorksOrdersBOM,tlkpFinishType,tlkpInventoryGroupCode,tlkpInventoryStatus,tlkpStockLocations,tlkpWOJobType,zzz_InventoryBOM(PartNo),zzz_InventoryBOM(PartNo) 2
10003,null,3,"ELECTRICITY CONSUMPTION FOR THE PERIOD 23/01/07 TO 28/02/07
AS PER ATTACHED SCHEDULE AND BRITISH GAS INVOICE 21434443/3 (21/03/07)",SALES,(Default),null,null,null,null,FALSE,null,0,0,0,0,0,0,0,0,0,0,0,0,0,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,10/05/2007 00:00:00,STANDARD,1,STANDARD,1,,null,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10004,null,1,"6 No. Sets of Packs - Items 17/3, 17/4, 17/5, 17/6, 17/7 and 17/8 ",SALES,(Default),null,null,null,null,FALSE,null,0,0,0,809.375,0,0,0,31.25,0,0,0,0,0,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,11/09/2008 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,809.375,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10005,null,1,2400,SALES,(Default),null,null,null,null,FALSE,null,0,0,0,0,0,0,0,0,0,0,0,0,0,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,01/10/2008 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10006,null,1,"2"" NB Schd 40 Pipe ASTM A312 TP321H x 1210",SALES,(Default),null,null,null,null,TRUE,null,0,140,0,0,0,0,0,0,140,0,0,0,140,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,null,0,null,0,FALSE,CORNES,null,(Default),0,(Default),FALSE,FALSE,FALSE,15/03/2010 00:00:00,Manually Edited,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10007,null,1,"4"" Schd 160 Pipe ASTM SB407 N08810 x 410",SALES,(Default),null,null,null,null,TRUE,null,0,333,0,0,0,0,0,0,333,0,0,0,333,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,CORNES,null,(Default),0,(Default),FALSE,FALSE,FALSE,15/03/2010 00:00:00,Manually Edited,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10008,null,1,30dia Solid Bar ASTM SB407 N08810 x 200,SALES,(Default),null,null,null,null,TRUE,null,0,33,0,0,0,0,0,0,33,0,0,0,33,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,15/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10009,null,1,Machined Parts for AD5257 DH Assembly,SALES,(Default),null,null,null,null,FALSE,null,900,900,0,1861.5,1861.5,30,0,54.75,0,0,0,0,0,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,31,31,31,0,0,0,0,0,0,null,0,null,0,FALSE,null,SMD,(Default),0,(Default),FALSE,FALSE,FALSE,25/01/2011 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,1861.5,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
100090001,null,1,25dia Solid Bar x 160,SALES,(Default),null,null,null,null,TRUE,null,0,57.5,0,0,0,0,0,0,57.5,0,0,0,57.5,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10010,null,1,75dia Solid Bar x 160,SALES,(Default),null,null,null,null,TRUE,null,0,22,0,0,0,0,0,0,22,0,0,0,0,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10011,null,1,"2""NB 300# RFWN Schd 40",SALES,(Default),null,null,null,null,TRUE,null,0,95,0,0,0,0,0,0,95,0,0,0,95,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10012,null,1,"2""NB 300# RF Blind",SALES,(Default),null,null,null,null,TRUE,null,0,85,0,0,0,0,0,0,85,0,0,0,85,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10013,null,1,"4""NB 300# RFWN Schd 160",SALES,(Default),null,null,null,null,TRUE,null,0,178,0,0,0,0,0,0,178,0,0,0,178,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10014,null,1,"4""NB 300# RF Blind",SALES,(Default),null,null,null,null,TRUE,null,0,153,0,0,0,0,0,0,153,0,0,0,153,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10015,null,1,"4"" Schd 160 BW End Cap",SALES,(Default),null,null,null,null,TRUE,null,0,395,0,0,0,0,0,0,395,0,0,0,395,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10016,null,1,40 x 6 Flat Bar ASTM  A240 321H,SALES,(Default),null,null,null,null,TRUE,null,0,63,0,0,0,0,0,0,63,0,0,0,63,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10017,null,1,Bolting,SALES,(Default),null,null,null,null,TRUE,null,0,13.12,0,0,0,0,0,0,13.12,0,0,26,13.12,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10018,null,1,Gaskets,SALES,(Default),null,null,null,null,TRUE,null,0,33.72,0,0,0,0,0,0,33.72,0,0,40,33.72,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,16/03/2010 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10019,null,1,Assemble AD5257 DH including Assembly to AF,SALES,(Default),null,null,null,null,FALSE,null,7950,7950,0,2380,2310,0,0,70,0,0,0,0,0,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,null,0,null,0,FALSE,null,SMD,(Default),0,(Default),FALSE,FALSE,FALSE,25/01/2011 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,2380,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
10020,null,1,Variations to Zeeco Flare Tip,SALES,(Default),null,null,null,null,FALSE,null,0,0,0,0.01,0.01,0,0,0.00027778,0,0,0,0,0,Each,Each,1,3 SHOP ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,null,0,FALSE,null,null,(Default),0,(Default),FALSE,FALSE,FALSE,26/01/2011 00:00:00,STANDARD,1,STANDARD,1,,0,null,null,FALSE,01/01/2000 00:00:00,FALSE,FALSE,null,null,0,0,0,0.01,null,0,null,null,null,FALSE,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,null,null,0,null,null,null,null,0,[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],[Table],,,,,,[Table],[Table]
