WONo,WOPartNo,WORef,WOSalesOrder,WOLineNo,WOStatus,WOProjectNo,WOQty,WOQtyReceived,WOQtyOS,WOCreationDate,WOCreatedByUser,WOSchedStartDate,WOSchedFinishDate,WOActualStartDate,WOActualFinishDate,WODateTotalQtyReceived,WOJobType,WOPriority,WOMasterNo,WOblnLotCards,WOLotQty,WOReprintNo,WOLastBatchNo,WORevNo,WOBonus,WOBookingRef,WOParentNo,WOBOMName,WOBOMRev,WORoutName,WORoutRev,WOOffPlanReason,WOTycoTestID,WOEstMatCost,WOEstLabCost,WOEstSubCost,WOEstOrigQty,WOSFLStatus,WODepartment,WOStandard,WOIsForecast,WOOriginalForecastNo,WOForecastCustomer,MasterWO_SO,MasterWO_SOLine,WOLevel,WOIssueLocation,WOEarliestStartDate,WOSplitFromWONo,WOCastCode,WO3rdPartyUpdate,PM_DateSentToPM,PM_NestNo,PM_DateSentToMachine,PM_DateCut,StockAllocationWO,WorksOrdersBOM,WorksOrdersRouting,tlkpWOJobType
17525,E/15244-12,210876,6360,12,50,null,1,1,0,01/11/2022 00:00:00,JACQUELINE GATENBY,01/11/2022 00:00:00,01/11/2022 00:00:00,01/11/2022 00:00:00,01/11/2022 00:00:00,01/11/2022 00:00:00,null,null,17525,FALSE,0,0,1,null,0,null,17525,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6360,12,0,null,01/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17524,E/15598-44,PO10570-51,6385,44,20,null,1,0,1,01/11/2022 00:00:00,JACQUELINE GATENBY,01/11/2022 00:00:00,01/11/2022 00:00:00,30/10/2022 00:00:00,null,null,null,null,17524,FALSE,0,0,0,null,0,null,17524,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6385,44,0,null,01/11/2022 00:00:00,0,null,NEW,null,null,null,null,[Table],[Table],[Table],
17523,E/15244-11,210839,6360,11,50,null,1,1,0,31/10/2022 00:00:00,JACQUELINE GATENBY,31/10/2022 00:00:00,31/10/2022 00:00:00,31/10/2022 00:00:00,31/10/2022 00:00:00,31/10/2022 00:00:00,null,null,17523,FALSE,0,0,1,null,0,null,17523,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6360,11,0,null,31/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17522,E/15403-5,4500001455-U01,6339,5,10,null,1,0,1,31/10/2022 00:00:00,JACQUELINE GATENBY,31/10/2022 00:00:00,31/10/2022 00:00:00,null,null,null,null,null,17522,FALSE,0,0,0,null,0,null,17522,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6339,5,0,null,31/10/2022 00:00:00,0,null,NEW,null,null,null,null,[Table],[Table],[Table],
17521,E/15906-1,NH-033,6417,1,10,null,1,0,1,27/10/2022 00:00:00,JACQUELINE GATENBY,27/10/2022 00:00:00,31/10/2022 00:00:00,null,null,null,null,null,17521,FALSE,0,0,0,null,0,null,17521,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6417,1,0,null,27/10/2022 00:00:00,0,null,NEW,null,null,null,null,[Table],[Table],[Table],
17520,E/15897-5,TBC,6414,5,50,null,1,1,0,27/10/2022 00:00:00,JACQUELINE GATENBY,27/10/2022 00:00:00,27/10/2022 00:00:00,24/10/2022 17:04:00,10/11/2022 00:00:00,09/11/2022 00:00:00,null,null,17520,FALSE,0,2,1,null,0,null,17520,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6414,5,0,null,27/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17519,E/15897-4,TBC,6414,4,50,null,1,1,0,27/10/2022 00:00:00,JACQUELINE GATENBY,27/10/2022 00:00:00,27/10/2022 00:00:00,25/10/2022 07:42:00,09/11/2022 00:00:00,09/11/2022 00:00:00,null,null,17519,FALSE,0,2,1,null,0,null,17519,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6414,4,0,null,27/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17518,E/15897-3,TBC,6414,3,50,null,1,1,0,27/10/2022 00:00:00,JACQUELINE GATENBY,27/10/2022 00:00:00,27/10/2022 00:00:00,25/10/2022 13:00:00,09/11/2022 00:00:00,09/11/2022 00:00:00,null,null,17518,FALSE,0,2,1,null,0,null,17518,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6414,3,0,null,27/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17517,E/15897-2,TBC,6414,2,50,null,1,1,0,27/10/2022 00:00:00,JACQUELINE GATENBY,27/10/2022 00:00:00,27/10/2022 00:00:00,24/10/2022 00:00:00,09/11/2022 00:00:00,09/11/2022 00:00:00,null,null,17517,FALSE,0,2,1,null,0,null,17517,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6414,2,0,null,27/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17516,E/15877-1,22/53250,6416,1,20,null,1,0,1,26/10/2022 00:00:00,JACQUELINE GATENBY,26/10/2022 00:00:00,26/10/2022 00:00:00,02/11/2022 07:47:00,null,null,null,null,17516,FALSE,0,4,0,null,0,null,17516,STANDARD,null,STANDARD,null,null,0,708.61,10489.63056,2817.3,1,null,null,-1,FALSE,0,null,6416,1,0,null,26/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17515,E/14891-19,1053079,6166,19,50,null,1,1,0,26/10/2022 00:00:00,JACQUELINE GATENBY,26/10/2022 00:00:00,31/10/2022 00:00:00,31/10/2022 00:00:00,31/10/2022 00:00:00,31/10/2022 00:00:00,null,null,17515,FALSE,0,0,1,null,0,null,17515,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6166,19,0,null,26/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17514,E/15900-1,4500908598,6415,1,50,5. C SHIELS,1,1,0,25/10/2022 00:00:00,JACQUELINE GATENBY,25/10/2022 00:00:00,31/10/2022 00:00:00,27/10/2022 00:00:00,31/10/2022 00:00:00,31/10/2022 00:00:00,null,null,17514,FALSE,0,0,1,null,0,null,17514,STANDARD,null,STANDARD,null,null,0,1,3300,500,1,null,null,-1,FALSE,0,null,6415,1,0,null,25/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17513,E/15897-1,TBC,6414,1,50,null,1,1,0,24/10/2022 00:00:00,JACQUELINE GATENBY,24/10/2022 00:00:00,24/10/2022 00:00:00,09/11/2022 00:00:00,09/11/2022 00:00:00,09/11/2022 00:00:00,null,null,17513,FALSE,0,0,1,null,0,null,17513,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6414,1,0,null,24/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17512,E/15797-16,22/52990,6393,16,10,A REED,1,0,1,24/10/2022 00:00:00,JACQUELINE GATENBY,24/10/2022 00:00:00,24/10/2022 00:00:00,null,null,null,null,null,17512,FALSE,0,0,0,null,0,null,17512,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6393,16,0,null,24/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17511,E/15797-15,22/52990,6393,15,10,A REED,1,0,1,24/10/2022 00:00:00,JACQUELINE GATENBY,24/10/2022 00:00:00,24/10/2022 00:00:00,null,null,null,null,null,17511,FALSE,0,0,0,null,0,null,17511,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6393,15,0,null,24/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17510,E/15797-14,22/52990,6393,14,10,A REED,1,0,1,24/10/2022 00:00:00,JACQUELINE GATENBY,24/10/2022 00:00:00,24/10/2022 00:00:00,null,null,null,null,null,17510,FALSE,0,0,0,null,0,null,17510,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6393,14,0,null,24/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17509,E/15244-10,210737,6360,10,50,A REED,1,1,0,24/10/2022 00:00:00,JACQUELINE GATENBY,24/10/2022 00:00:00,24/10/2022 00:00:00,24/10/2022 00:00:00,24/10/2022 00:00:00,24/10/2022 00:00:00,null,null,17509,FALSE,0,0,1,null,0,null,17509,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6360,10,0,null,24/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17508,E/15895-1,4700270962 / GB15,6413,1,10,A BLACKWOOD,1,0,1,24/10/2022 00:00:00,JACQUELINE GATENBY,24/10/2022 00:00:00,31/10/2022 00:00:00,null,null,null,null,null,17508,FALSE,0,0,0,null,0,null,17508,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6413,1,0,null,24/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17507,E/15589-6,220471,6346,8,10,null,1,0,1,24/10/2022 00:00:00,JACQUELINE GATENBY,24/10/2022 00:00:00,31/12/2022 00:00:00,null,null,null,null,null,17507,FALSE,0,0,0,null,0,null,17507,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6346,8,0,null,24/10/2022 00:00:00,0,null,NEW,null,null,null,null,[Table],[Table],[Table],
17506,E/15589-5,220471,6346,7,20,null,1,0,1,24/10/2022 00:00:00,JACQUELINE GATENBY,24/10/2022 00:00:00,30/11/2022 00:00:00,01/11/2022 00:00:00,null,null,null,null,17506,FALSE,0,0,0,null,0,null,17506,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6346,7,0,null,24/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17505,E/15684-9,4500093649,6387,9,10,G SKELTON,1,0,1,20/10/2022 00:00:00,JACQUELINE GATENBY,07/11/2022 00:00:00,07/11/2022 00:00:00,null,null,null,null,null,17505,FALSE,0,0,0,null,0,null,17505,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6387,9,0,null,07/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17504,E/15684-8,4500093649,6387,8,10,G SKELTON,1,0,1,20/10/2022 00:00:00,JACQUELINE GATENBY,07/11/2022 00:00:00,07/11/2022 00:00:00,null,null,null,null,null,17504,FALSE,0,0,0,null,0,null,17504,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6387,8,0,null,07/11/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17503,E/15244-9,210680,6360,9,50,A REED,1,1,0,19/10/2022 00:00:00,JACQUELINE GATENBY,19/10/2022 00:00:00,19/10/2022 00:00:00,19/10/2022 00:00:00,24/10/2022 00:00:00,19/10/2022 00:00:00,null,null,17503,FALSE,0,0,1,null,0,null,17503,STANDARD,null,STANDARD,null,null,0,1,0,0,1,null,null,-1,FALSE,0,null,6360,9,0,null,19/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17502,E/15860-1,PO-11024,6412,1,50,null,1,1,0,18/10/2022 00:00:00,JACQUELINE GATENBY,18/10/2022 00:00:00,24/10/2022 00:00:00,22/10/2022 00:00:00,03/11/2022 00:00:00,26/10/2022 00:00:00,null,null,17502,FALSE,0,0,1,null,0,null,17502,STANDARD,null,STANDARD,null,null,0,1,2145,840,1,null,null,-1,FALSE,0,null,6412,1,0,null,18/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17501,E/15843-1,4300539601,6411,1,20,null,1,0,1,17/10/2022 00:00:00,JACQUELINE GATENBY,17/10/2022 00:00:00,12/12/2022 00:00:00,03/11/2022 00:00:00,null,null,null,null,17501,FALSE,0,0,0,null,0,null,17501,STANDARD,null,STANDARD,null,null,0,1930.74,4829.091666,575.77,1,null,null,-1,FALSE,0,null,6411,1,0,null,17/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17500,E/15808-2,4700272648 / GB15,6410,2,10,A BLACKWOOD,1,0,1,17/10/2022 00:00:00,JACQUELINE GATENBY,17/10/2022 00:00:00,06/01/2023 00:00:00,null,null,null,null,null,17500,FALSE,0,0,0,null,0,null,17500,STANDARD,null,STANDARD,null,null,0,400,8250,5360,1,null,null,-1,FALSE,0,null,6410,2,0,null,17/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17499,E/15808-1,4700272648 / GB15,6410,1,10,A BLACKWOOD,1,0,1,17/10/2022 00:00:00,JACQUELINE GATENBY,17/10/2022 00:00:00,06/01/2023 00:00:00,null,null,null,null,null,17499,FALSE,0,0,0,null,0,null,17499,STANDARD,null,STANDARD,null,null,0,6340,7672.5,6500,1,null,null,-1,FALSE,0,null,6410,1,0,null,17/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17498,E/15822-1,4300539277,6409,1,10,null,1,0,1,14/10/2022 00:00:00,JACQUELINE GATENBY,14/10/2022 00:00:00,13/01/2023 00:00:00,null,null,null,null,null,17498,FALSE,0,0,0,null,0,null,17498,STANDARD,null,STANDARD,null,null,0,1439.81,5459.880556,5825,1,null,null,-1,FALSE,0,null,6409,1,0,null,14/10/2022 00:00:00,0,null,NEW,null,null,null,null,[Table],[Table],[Table],
17497,E/15777-2,4700271285 / GB15,6408,2,10,A BLACKWOOD,1,0,1,14/10/2022 00:00:00,JACQUELINE GATENBY,14/10/2022 00:00:00,05/12/2022 00:00:00,null,null,null,null,null,17497,FALSE,0,0,0,null,0,null,17497,STANDARD,null,STANDARD,null,null,0,250,9240,3500,1,null,null,-1,FALSE,0,null,6408,2,0,null,14/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
17496,E/15777-1,4700271285 / GB15,6408,1,10,A BLACKWOOD,1,0,1,14/10/2022 00:00:00,JACQUELINE GATENBY,14/10/2022 00:00:00,05/12/2022 00:00:00,null,null,null,null,null,17496,FALSE,0,1,0,null,0,null,17496,STANDARD,null,STANDARD,null,null,0,6180,8470,6175,1,null,null,-1,FALSE,0,null,6408,1,0,null,14/10/2022 00:00:00,0,null,UPDATE,null,null,null,null,[Table],[Table],[Table],
