WONo,Status,Project,Qty,QtyRec,QtyOS,ActualFinishDate,TotalQtyRecDate,Priority,PartNo,PartDesc,PartGroupCode,OpNo,OpDesc,WC,PlannedSetUp,PlannedRun,BookedSet,BookedRun,OpComplete,OpQtyBooked
17550,Created,null,1,0,1,null,null,null,E/15940-4,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,150,DO NOT USE THESE HOURS.,GENERAL,0,17.25,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,20,WELD THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,WELD,0,13.75,0,10.78333334,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,30,TURN THE RISER HORIZONTAL & SECURE IT TO THE MANIPULATOR.,PLATE,0,1.75,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,40,WELD THE 6no ACTUATORS TO THE RISER STRUCTURE.,WELD,0,18.5,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,50,REMOVE THE TEMPORARY BRACING FROM THE ACTUATORS.,PLATE,0,2,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,60,FLUSH THE INTERNAL WELDS ON THE ACTUATOR CONNECTIONS.,GENERAL,0,4.5,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,70,N.D.T. THE 6no ACTUATOR TO RISER WELDED CONNECTIONS.,SUBCON,0,0,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,80,TURN THE RISER BACK TO THE VERTICAL POSITION & LEVEL IT UP.,PLATE,0,1.5,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,90,DRESS & FIT ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,PLATE,0,6,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,100,PRE-WELD DIMENSIONAL AND ORIENTATION CHECK.,INSPECT,0,0.25,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,110,WELD ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,WELD,0,6.5,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,120,PRE-DELIVERY DIMENSIONAL & VISUAL WELD INSPECTION.,INSPECT,0,1,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,130,COMPLETE ALL REMAINING N.D.T. REQUIREMENTS.,SUBCON,0,0,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,140,FIT THE FLANGE & ACTUATOR PROTECTION & LOAD FOR DELIVERY.,GENERAL,0,1,0,0,FALSE,0
17549,WIP,null,1,0,1,null,null,null,E/15940-3,"32"" UNIT
 

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,150,DO NOT USE THESE HOURS.,GENERAL,0,17.25,0,0,TRUE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,10,null,GENERAL,0,0,0,3.25,TRUE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,20,WELD THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,WELD,0,13.75,0,13.15,TRUE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,30,TURN THE RISER HORIZONTAL & SECURE IT TO THE MANIPULATOR.,PLATE,0,1.75,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,40,WELD THE 6no ACTUATORS TO THE RISER STRUCTURE.,WELD,0,18.5,0,8.51666667,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,50,REMOVE THE TEMPORARY BRACING FROM THE ACTUATORS.,PLATE,0,2,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,60,FLUSH THE INTERNAL WELDS ON THE ACTUATOR CONNECTIONS.,GENERAL,0,4.5,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,70,N.D.T. THE 6no ACTUATOR TO RISER WELDED CONNECTIONS.,SUBCON,0,0,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,80,TURN THE RISER BACK TO THE VERTICAL POSITION & LEVEL IT UP.,PLATE,0,1.5,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,90,DRESS & FIT ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,PLATE,0,6,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,100,PRE-WELD DIMENSIONAL AND ORIENTATION CHECK.,INSPECT,0,0.25,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,110,WELD ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,WELD,0,6.5,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,120,PRE-DELIVERY DIMENSIONAL & VISUAL WELD INSPECTION.,INSPECT,0,1,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,130,COMPLETE ALL REMAINING N.D.T. REQUIREMENTS.,SUBCON,0,0,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,140,FIT THE FLANGE & ACTUATOR PROTECTION & LOAD FOR DELIVERY.,GENERAL,0,1,0,0,FALSE,0
17548,WIP,null,1,0,1,null,null,null,E/15940-2,"32"" UNIT
 


[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,150,DO NOT USE THESE HOURS.,GENERAL,0,17.25,0,0,TRUE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,20,WELD THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,WELD,0,13.75,0,6.41666667,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,30,TURN THE RISER HORIZONTAL & SECURE IT TO THE MANIPULATOR.,PLATE,0,1.75,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,40,WELD THE 6no ACTUATORS TO THE RISER STRUCTURE.,WELD,0,18.5,0,0.13333333,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,50,REMOVE THE TEMPORARY BRACING FROM THE ACTUATORS.,PLATE,0,2,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,60,FLUSH THE INTERNAL WELDS ON THE ACTUATOR CONNECTIONS.,GENERAL,0,4.5,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,70,N.D.T. THE 6no ACTUATOR TO RISER WELDED CONNECTIONS.,SUBCON,0,0,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,80,TURN THE RISER BACK TO THE VERTICAL POSITION & LEVEL IT UP.,PLATE,0,1.5,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,90,DRESS & FIT ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,PLATE,0,6,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,100,PRE-WELD DIMENSIONAL AND ORIENTATION CHECK.,INSPECT,0,0.25,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,110,WELD ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,WELD,0,6.5,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,120,PRE-DELIVERY DIMENSIONAL & VISUAL WELD INSPECTION.,INSPECT,0,1,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,130,COMPLETE ALL REMAINING N.D.T. REQUIREMENTS.,SUBCON,0,0,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,140,FIT THE FLANGE & ACTUATOR PROTECTION & LOAD FOR DELIVERY.,GENERAL,0,1,0,0,FALSE,0
17547,WIP,null,1,0,1,null,null,null,E/15940-1,"32"" UNIT

[welding of round blocks, bumper bar, fab weld of ROV grab handle]",Vessels and Pipework,150,DO NOT USE THESE HOURS.,GENERAL,0,17.25,0,0,TRUE,0
17546,Created,A BLACKWOOD,1,0,1,null,null,null,E/15931-1,WINCANTON - HEINZ - CRANE CRACK REPAIR,Site work,10,null,GENERAL,0,44,0,0,FALSE,0
17546,Created,A BLACKWOOD,1,0,1,null,null,null,E/15931-1,WINCANTON - HEINZ - CRANE CRACK REPAIR,Site work,1000,SUB CONTRACT WORK,SUBCON,0,0,0,0,FALSE,0
17545,Created,null,1,0,1,null,null,null,E/15806-1,HEAT EXCHANGER PARTS - PM8 SHELL,Vessels and Pipework,3,PLATER,PLATE,0,7.61722222,0,0,FALSE,0
17545,Created,null,1,0,1,null,null,null,E/15806-1,HEAT EXCHANGER PARTS - PM8 SHELL,Vessels and Pipework,4,WELDER,WELD,0,7.98444444,0,0,FALSE,0
17545,Created,null,1,0,1,null,null,null,E/15806-1,HEAT EXCHANGER PARTS - PM8 SHELL,Vessels and Pipework,5,DRILL / MACHINE,MACHINE,0,5.81722222,0,0,FALSE,0
17545,Created,null,1,0,1,null,null,null,E/15806-1,HEAT EXCHANGER PARTS - PM8 SHELL,Vessels and Pipework,10,GENERAL,GENERAL,0,5.21888889,0,0,FALSE,0
17545,Created,null,1,0,1,null,null,null,E/15806-1,HEAT EXCHANGER PARTS - PM8 SHELL,Vessels and Pipework,1000,NDT,SUBCON,0,0,0,0,FALSE,0
17544,WIP,null,1,0,1,null,null,null,E/15802-3,REMEDIAL WORK,Structural,10,null,GENERAL,0,0,0,7.41666667,FALSE,0
17543,Created,null,1,0,1,null,null,null,E/15802-2,REMEDIAL WORK,Structural,10,Manufacture 10783 Pipe Spool omitted from original works order,GENERAL,0,0,0,0,FALSE,0
17542,WIP,5. C SHIELS,1,0,1,null,null,null,E/15854-2,SOUTH BANK QUAY - SHEET PILES - NOVEMBER,Structural,10,null,GENERAL,0,360,0,218.5,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,10,FIT THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,PLATE,0,3,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,20,PRE-WELD DIMENSIONAL AND ORIENTATION CHECK.,INSPECT,0,0.25,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,30,WELD THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,WELD,0,13.75,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,40,TURN THE RISER HORIZONTAL & SECURE IT TO THE MANIPULATOR.,PLATE,0,1.75,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,50,PREP THE 6no ACTUATOR CUT OUTS IN THE RISER STRUCTURE.,PLATE,0,21,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,60,FIT & BRACE THE 6no ACTUATORS TO THE RISER STRUCTURE.,PLATE,0,14,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,70,"PRE-WELD DIMENSIONAL, ORIENTATION & FIT UP CHECK.",INSPECT,0,0.5,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,80,WELD THE 6no ACTUATORS TO THE RISER STRUCTURE.,WELD,0,18.5,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,90,REMOVE THE TEMPORARY BRACING FROM THE ACTUATORS.,PLATE,0,2,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,100,FLUSH THE INTERNAL WELDS ON THE ACTUATOR CONNECTIONS.,GENERAL,0,4.5,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,110,N.D.T. THE 6no ACTUATOR TO RISER WELDED CONNECTIONS.,SUBCON,0,0,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,120,TURN THE RISER BACK TO THE VERTICAL POSITION & LEVEL IT UP.,PLATE,0,1.5,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,130,DRESS & FIT ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,PLATE,0,6,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,140,PRE-WELD DIMENSIONAL AND ORIENTATION CHECK.,INSPECT,0,0.25,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,150,WELD ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,WELD,0,6.5,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,160,PRE-DELIVERY DIMENSIONAL & VISUAL WELD INSPECTION.,INSPECT,0,1,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,170,COMPLETE ALL REMAINING N.D.T. REQUIREMENTS.,SUBCON,0,0,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,180,FIT THE FLANGE & ACTUATOR PROTECTION & LOAD FOR DELIVERY.,GENERAL,0,1,0,0,FALSE,0
17541,Created,null,1,0,1,null,null,null,E/15918-6,"32"" BSDL",Structural,190,DO NOT USE THESE HOURS.,GENERAL,0,26.5,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,10,FIT THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,PLATE,0,3,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,20,PRE-WELD DIMENSIONAL AND ORIENTATION CHECK.,INSPECT,0,0.25,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,30,WELD THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,WELD,0,13.75,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,40,TURN THE RISER HORIZONTAL & SECURE IT TO THE MANIPULATOR.,PLATE,0,1.75,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,50,PREP THE 6no ACTUATOR CUT OUTS IN THE RISER STRUCTURE.,PLATE,0,21,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,60,FIT & BRACE THE 6no ACTUATORS TO THE RISER STRUCTURE.,PLATE,0,14,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,70,"PRE-WELD DIMENSIONAL, ORIENTATION & FIT UP CHECK.",INSPECT,0,0.5,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,80,WELD THE 6no ACTUATORS TO THE RISER STRUCTURE.,WELD,0,18.5,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,90,REMOVE THE TEMPORARY BRACING FROM THE ACTUATORS.,PLATE,0,2,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,100,FLUSH THE INTERNAL WELDS ON THE ACTUATOR CONNECTIONS.,GENERAL,0,4.5,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,110,N.D.T. THE 6no ACTUATOR TO RISER WELDED CONNECTIONS.,SUBCON,0,0,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,120,TURN THE RISER BACK TO THE VERTICAL POSITION & LEVEL IT UP.,PLATE,0,1.5,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,130,DRESS & FIT ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,PLATE,0,6,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,140,PRE-WELD DIMENSIONAL AND ORIENTATION CHECK.,INSPECT,0,0.25,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,150,WELD ITEM 6 (8off) AND ITEM 7 TO THE RISER STRUCTURE.,WELD,0,6.5,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,160,PRE-DELIVERY DIMENSIONAL & VISUAL WELD INSPECTION.,INSPECT,0,1,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,170,COMPLETE ALL REMAINING N.D.T. REQUIREMENTS.,SUBCON,0,0,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,180,FIT THE FLANGE & ACTUATOR PROTECTION & LOAD FOR DELIVERY.,GENERAL,0,1,0,0,FALSE,0
17540,Created,null,1,0,1,null,null,null,E/15918-5,"32"" BSDL",Structural,190,DO NOT USE THESE HOURS.,GENERAL,0,26.5,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,10,FIT THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,PLATE,0,3,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,20,PRE-WELD DIMENSIONAL AND ORIENTATION CHECK.,INSPECT,0,0.25,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,30,WELD THE ITEM 5 ROUND BAR TO THE RISER STRUCTURE.,WELD,0,13.75,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,40,TURN THE RISER HORIZONTAL & SECURE IT TO THE MANIPULATOR.,PLATE,0,1.75,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,50,PREP THE 6no ACTUATOR CUT OUTS IN THE RISER STRUCTURE.,PLATE,0,21,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,60,FIT & BRACE THE 6no ACTUATORS TO THE RISER STRUCTURE.,PLATE,0,14,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,70,"PRE-WELD DIMENSIONAL, ORIENTATION & FIT UP CHECK.",INSPECT,0,0.5,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,80,WELD THE 6no ACTUATORS TO THE RISER STRUCTURE.,WELD,0,18.5,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,90,REMOVE THE TEMPORARY BRACING FROM THE ACTUATORS.,PLATE,0,2,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,100,FLUSH THE INTERNAL WELDS ON THE ACTUATOR CONNECTIONS.,GENERAL,0,4.5,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,110,N.D.T. THE 6no ACTUATOR TO RISER WELDED CONNECTIONS.,SUBCON,0,0,0,0,FALSE,0
17539,Created,null,1,0,1,null,null,null,E/15918-4,"32"" BSDL",Structural,120,TURN THE RISER BACK TO THE VERTICAL POSITION & LEVEL IT UP.,PLATE,0,1.5,0,0,FALSE,0
