CustID,CustName,SONo,SOLineNo,SOLineStatus,SOLineQty,QtyOS,SOLineNet,PartDescription,SODate,SOLineRequiredDate,SOLinePromisedDate,SOLinePartNo,NetOS,WONo,WOStatusDescription,WOQtyOS,WOActualStartDate,MaxWOSchedFinish
LOTTE,ALPEK POLYESTER UK LIMITED,6277,5,10,1,1,4780,PLATFORM MODIFICATIONS - SHOP,00:00.0,00:00.0,00:00.0,E/15012-5,9560,17374,Total Qty Received,0,45:00.0,00:00.0
LOTTE,ALPEK POLYESTER UK LIMITED,6277,6,10,1,1,8155,PLATFORM MODIFICATIONS - SITE,00:00.0,00:00.0,00:00.0,E/15012-6,24465,17375,Completed,0,00:00.0,00:00.0
ALTRAD.,ALTRAD SERVICES,6365,1,30,1,0,56713.38,TIG / FCAW WELDERS,00:00.0,00:00.0,00:00.0,E/15670-1,0,17325,Total Qty Received,0,00:00.0,00:00.0
AMEC,AMEC GROUP LTD (PURCHASE),3396,1,30,1,0,6036,"2 NO. EHC HEAT SHEILDS (PROTOTYPES) FLANGED ALL AROUND

",00:00.0,00:00.0,00:00.0,E/7213-1,0,6979,Completed,0,00:00.0,00:00.0
AROMATICAL,AROMATICAL CHEMICALS LTD,5641,1,0,1,1,3000,QUOTE FOR WORK,00:00.0,00:00.0,00:00.0,E/13185-1,3000,NULL,NULL,NULL,NULL,NULL
BAESUB,BAE SYSTEMS MARINE LIMITED,6375,1,10,1,1,21275,JIG S44745,00:00.0,00:00.0,00:00.0,E/15697-1,148925,17373,WIP,1,00:00.0,00:00.0
BAESUB,BAE SYSTEMS MARINE LIMITED,6375,2,10,1,1,0,Bracket 102,00:00.0,00:00.0,00:00.0,E/15697-2,0,17381,WIP,1,37:00.0,00:00.0
BAESUB,BAE SYSTEMS MARINE LIMITED,6375,3,10,1,1,0,Bracket 103,00:00.0,00:00.0,00:00.0,E/15697-3,0,17382,WIP,1,30:57.0,00:00.0
BAESUB,BAE SYSTEMS MARINE LIMITED,6375,4,10,1,1,0,Holding Angle 104,00:00.0,00:00.0,00:00.0,E/15697-4,0,17383,WIP,1,06:00.0,00:00.0
BAESUB,BAE SYSTEMS MARINE LIMITED,6375,5,10,1,1,0,Holding Ram 105,00:00.0,00:00.0,00:00.0,E/15697-5,0,17384,WIP,1,57:00.0,00:00.0
BAESUB,BAE SYSTEMS MARINE LIMITED,6375,6,10,1,1,0,Extension Fixture 106,00:00.0,00:00.0,00:00.0,E/15697-6,0,17385,WIP,1,50:00.0,00:00.0
BAESUB,BAE SYSTEMS MARINE LIMITED,6375,7,10,1,1,0,Pedestal 107,00:00.0,00:00.0,00:00.0,E/15697-7,0,17386,WIP,1,30:00.0,00:00.0
BAESUB,BAE SYSTEMS MARINE LIMITED,6376,1,10,1,1,15375,JIG S44195,00:00.0,00:00.0,00:00.0,E/15696-1,276750,17377,WIP,1,00:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6377,1,10,1,1,22960,JIG S43281 TYPE 1 103,00:00.0,00:00.0,00:00.0,E/15653-1,367360,17378,WIP,1,44:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6377,2,10,1,1,0,JIG S43281 TYPE 2 104,00:00.0,00:00.0,00:00.0,E/15653-2,0,17393,WIP,1,03:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6377,3,10,1,1,0,JIG S43282 TYPE 1 103,00:00.0,00:00.0,00:00.0,E/15653-3,0,17394,WIP,1,53:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6377,4,10,1,1,0,JIG S43282 TYPE 2 & 3 104 & 105 (PORT & STBD),00:00.0,00:00.0,00:00.0,E/15653-4,0,17395,WIP,1,03:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6387,1,10,1,1,425693.4,CABLE HARNESS JIGS,00:00.0,00:00.0,00:00.0,E/15684-1,5534014.2,17406,WIP,1,12:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6387,2,10,1,1,0,JIG S42001,00:00.0,00:00.0,00:00.0,E/15684-2,0,17407,WIP,1,03:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6387,3,10,1,1,0,JIG S42012,00:00.0,00:00.0,00:00.0,E/15684-3,0,17408,WIP,1,09:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6387,4,10,1,1,0,JIG S42013,00:00.0,00:00.0,00:00.0,E/15684-4,0,17409,WIP,1,00:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6387,5,10,1,1,0,JIG S42014,00:00.0,00:00.0,00:00.0,E/15684-5,0,17410,WIP,1,00:00.0,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6387,6,0,1,1,0,JIG S42015,00:00.0,00:00.0,00:00.0,E/15684-6,0,17411,Created,1,NULL,00:00.0
BAE,BAE SYSTEMS MARINE LIMITED,6387,7,0,1,1,0,JIG S42016,00:00.0,00:00.0,00:00.0,E/15684-7,0,17412,Created,1,NULL,00:00.0
BAESUB,BAE SYSTEMS MARINE LIMITED,6407,1,0,1,1,25905,"JIGS - BATCH S49301, S49213, S49234 ",00:00.0,00:00.0,00:00.0,E/15830-1,207240,17493,Created,1,NULL,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6217,1,30,1,0,21170,MOORING BOLLARD COMPONENTS,00:00.0,00:00.0,00:00.0,E/14979-1,0,16904,Completed,0,00:00.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6217,2,10,1,1,0,ROUTE CARD,00:00.0,00:00.0,00:00.0,E/14979-2,0,16958,Completed,1,00:00.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6217,3,10,1,1,0,"NCR 21156 
Incorrect Material purchased",00:00.0,00:00.0,00:00.0,E/14979-3,0,16991,Completed,1,00:00.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6223,1,10,1,1,37950,E102571 OXTO CHASSIS ,00:00.0,00:00.0,00:00.0,E/14937-1,645150,16923,Completed,1,00:00.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6223,2,0,1,1,6265,"VARIATION TO ORDER
VO 21-058

INCREASED MATERIAL THICKNESS AND WIDTH FOR ROLLED CANS",00:00.0,00:00.0,00:00.0,E/14937-2,6265,17043,Completed,1,00:00.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6223,3,0,1,1,4320,"VARIATION TO ORDER
VO 21-082

OXTO CHASSIS VACUUM TESTING",00:00.0,00:00.0,00:00.0,E/14937-3,4320,17077,Completed,1,00:00.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6236,1,10,1,1,101370,FRAME WELDED ASSEMBLY and PACKING FRAMES,00:00.0,00:00.0,00:00.0,E/14908-1,6386310,16966,WIP,2,26:00.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6236,2,10,1,1,1030,"VARIATION TO ORDER

VO 22-025
VIBRATION STRESS RELIEVING OF FRAME",00:00.0,00:00.0,00:00.0,E/14908-2,1030,17227,WIP,1,00:00.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6251,1,10,1,1,12410,FUEL STAND PIPE EXTENSION SLEEVE TROLLEY,00:00.0,00:00.0,00:00.0,E/14732-1,136510,17008,WIP,1,00:00.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6369,1,0,1,1,9485,"SLIDING CRADLE
702 HART WEST",00:00.0,00:00.0,00:00.0,E/15126-1,56910,17336,Created,1,NULL,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6374,2,10,1,1,0,"VARIATION TO ORDER

VO 22-064 - CLIENT MODIFICATIONS",00:00.0,00:00.0,00:00.0,E/15586-2,0,17473,WIP,1,30:16.0,00:00.0
BELENGIN,BEL ENGINEERING (UK) LIMITED,6399,1,0,1,1,1690,SHORT SHIELD PLUG FABRICATION,00:00.0,00:00.0,00:00.0,E/15549-1,21970,17470,Created,1,NULL,00:00.0
BOMBARDIER,BOMBARDIER TRANSPORTATION UK LIMITED,5442,1,10,1,1,63866,INDUCTION HEATER CRANE,00:00.0,00:00.0,00:00.0,E/12042-1,1149588,14318,Completed,0,00:00.0,00:00.0
BP,BP AMOCO EXPLORATION (IN AMENAS) LTD,5728,1,10,1,1,575,OXYGEN SENSOR OC-16,00:00.0,00:00.0,00:00.0,E/13447-1,575,15344,Completed,1,00:00.0,00:00.0
BP,BP AMOCO EXPLORATION (IN AMENAS) LTD,5728,2,10,1,1,60,PACKING & DELIVERY TO GEODIS FELTHAM UK,00:00.0,00:00.0,00:00.0,E/13447-2,60,15345,Completed,1,40:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,1,30,1,0,92920,OTM1 - DECK PLATE GIRDERS,00:00.0,00:00.0,00:00.0,E/12090-1,0,13735,Completed,0,34:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,2,30,1,0,92920,OTM2 - DECK PLATE GIRDERS ,00:00.0,00:00.0,00:00.0,E/12090-2,0,13736,Completed,0,10:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,3,30,1,0,0,"Weld Procedures, Jigs & Fixtures",00:00.0,00:00.0,00:00.0,E/12090-3,0,13754,Completed,0,32:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,4,30,1,0,0,Box Section A,00:00.0,00:00.0,00:00.0,E/12090-4,0,13760,Completed,0,10:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,5,30,1,0,0,Box Section B,00:00.0,00:00.0,00:00.0,E/12090-5,0,13761,Completed,0,50:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,6,30,1,0,0,Box Section C,00:00.0,00:00.0,00:00.0,E/12090-6,0,13762,Completed,0,00:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,7,30,1,0,0,Box Section D,00:00.0,00:00.0,00:00.0,E/12090-7,0,13763,Completed,0,03:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,8,30,1,0,0,Plate Girder PG 1 & 2,00:00.0,00:00.0,00:00.0,E/12090-8,0,13764,Completed,0,56:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,9,30,1,0,0,Plate Girder PG 3,00:00.0,00:00.0,00:00.0,E/12090-9,0,13765,Completed,0,27:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,10,30,1,0,0,Plate Girder PG 4,00:00.0,00:00.0,00:00.0,E/12090-10,0,13766,Completed,0,57:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,11,30,1,0,0,Box Section A,00:00.0,00:00.0,00:00.0,E/12090-11,0,13767,Completed,0,32:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,12,30,1,0,0,Box Section B,00:00.0,00:00.0,00:00.0,E/12090-12,0,13768,Completed,0,41:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,13,30,1,0,0,Box Section C,00:00.0,00:00.0,00:00.0,E/12090-13,0,13769,Completed,0,49:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,14,30,1,0,0,Box Section D,00:00.0,00:00.0,00:00.0,E/12090-14,0,13770,Completed,0,49:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,15,30,1,0,0,Plate Girder PG 1 & 2,00:00.0,00:00.0,00:00.0,E/12090-15,0,13771,Completed,0,03:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,16,30,1,0,0,Plate Girder PG 3,00:00.0,00:00.0,00:00.0,E/12090-16,0,13772,Completed,0,17:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5347,17,30,1,0,0,Plate Girder PG 4,00:00.0,00:00.0,00:00.0,E/12090-17,0,13773,Completed,0,37:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,1,30,1,0,0,BEATRICE - BOAT LANDING FABRICATION's,00:00.0,00:00.0,00:00.0,E/12142-1,0,13781,Completed,0,00:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,2,0,1,1,74980,BL1 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-2,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,3,0,1,1,74980,BL2 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-3,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,4,0,1,1,74980,BL3 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-4,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,5,0,1,1,74980,BL4 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-5,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,6,0,1,1,74980,BL5 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-6,74980,14216,Cancelled,1,00:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,7,0,1,1,74980,BL6 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-7,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,8,0,1,1,74980,BL7 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-8,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,9,0,1,1,74980,BL8 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-9,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,10,0,1,1,74980,BL9 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-10,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,11,0,1,1,74980,BL10 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-11,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,12,0,1,1,74980,BL11 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-12,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,13,0,1,1,74980,BL12 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-13,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,14,0,1,1,74980,BL13 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-14,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,15,0,1,1,74980,BL14 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-15,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,16,0,1,1,74980,BL15 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-16,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,17,0,1,1,74980,BL16 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-17,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,18,0,1,1,74980,BL17 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-18,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,19,0,1,1,74980,BL18 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-19,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,20,0,1,1,74980,BL19 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-20,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,21,0,1,1,74980,BL20 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-21,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,22,0,1,1,74980,BL21 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-22,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,23,0,1,1,74980,BL22 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-23,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,24,0,1,1,74980,BL23 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-24,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,25,0,1,1,74980,BL24 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-25,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,26,0,1,1,74980,BL25 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-26,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,27,0,1,1,74980,BL26 - Boat Landing Fabrication,00:00.0,00:00.0,00:00.0,E/12142-27,74980,NULL,NULL,NULL,NULL,NULL
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,28,30,1,0,0,Fender Support,00:00.0,00:00.0,00:00.0,E/12142-28,0,13882,Completed,0,05:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,29,30,1,0,0,Fender Fabrication,00:00.0,00:00.0,00:00.0,E/12142-29,0,13883,Completed,0,35:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,30,30,1,0,0,Fender Ladder ,00:00.0,00:00.0,00:00.0,E/12142-30,0,13884,Completed,0,40:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,31,30,1,0,0,Fender & Ladder Fabrication Assembly,00:00.0,00:00.0,00:00.0,E/12142-31,0,13885,Completed,0,27:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,32,30,1,0,0,Rest Platform & Handrail,00:00.0,00:00.0,00:00.0,E/12142-32,0,13886,Completed,0,09:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,33,30,1,0,0,Rest Ladders,00:00.0,00:00.0,00:00.0,E/12142-33,0,13887,Completed,0,05:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,34,30,1,0,0,Access Platform,00:00.0,00:00.0,00:00.0,E/12142-34,0,13888,Completed,0,28:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,35,30,1,0,0,Access Handrail,00:00.0,00:00.0,00:00.0,E/12142-35,0,13889,Completed,0,38:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,36,30,1,0,0,Access Ladder,00:00.0,00:00.0,00:00.0,E/12142-36,0,13890,Completed,0,05:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,37,10,1,1,0,Trial Assemby & Packing,00:00.0,00:00.0,00:00.0,E/12142-37,0,13891,Completed,1,33:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,38,10,1,1,0,Weld Qualification procedures,00:00.0,00:00.0,00:00.0,E/12142-38,0,13899,Completed,1,42:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,39,30,1,0,0,Fender Support,00:00.0,00:00.0,00:00.0,E/12142-39,0,13901,Completed,0,43:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,40,30,1,0,0,Fender Fabrication,00:00.0,00:00.0,00:00.0,E/12142-40,0,13902,Completed,0,35:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,41,30,1,0,0,Fender Ladder,00:00.0,00:00.0,00:00.0,E/12142-41,0,13903,Completed,0,22:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,42,30,1,0,0,Fender & Ladder Fabrication Assembly,00:00.0,00:00.0,00:00.0,E/12142-42,0,13904,Completed,0,56:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,43,30,1,0,0,Rest Platform & Handrail,00:00.0,00:00.0,00:00.0,E/12142-43,0,13905,Completed,0,00:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,44,30,1,0,0,Rest Ladder,00:00.0,00:00.0,00:00.0,E/12142-44,0,13906,Completed,0,01:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,45,30,1,0,0,Access Platform,00:00.0,00:00.0,00:00.0,E/12142-45,0,13907,Completed,0,04:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,46,30,1,0,0,Access Handrail,00:00.0,00:00.0,00:00.0,E/12142-46,0,13908,Completed,0,26:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,47,30,1,0,0,Access Ladder,00:00.0,00:00.0,00:00.0,E/12142-47,0,13909,Completed,0,02:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,48,10,1,1,0,Trial Assembly & Packing,00:00.0,00:00.0,00:00.0,E/12142-48,0,13910,Completed,1,05:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,49,30,1,0,0,Fender Support,00:00.0,00:00.0,00:00.0,E/12142-28,0,13911,Completed,0,34:00.0,00:00.0
BIFAB,BURNTISLAND FABRICATIONS LTD,5358,50,30,1,0,0,Fender Fabrication,00:00.0,00:00.0,00:00.0,E/12142-29,0,13912,Completed,0,49:00.0,00:00.0
